"","Archipelago","Island","Island_Site","Depth","Cattegory","Coral_genus","Cover"
"354","Gambier","Mangareva","1",40,"Scleractinian","Gardinoseris",0.0443333333333333
"355","Society","Moorea","1",40,"Scleractinian","Gardinoseris",0.0443333333333333
"356","Tuamotu","Rangiroa","1",40,"Scleractinian","Gardinoseris",0.0886666666666667
"357","Society","Tahiti","1",40,"Scleractinian","Gardinoseris",0.133333333333333
"358","Tuamotu","Makatea","2",40,"Scleractinian","Gardinoseris",0.222333333333333
"359","Gambier","Mangareva","2",40,"Scleractinian","Gardinoseris",0.0443333333333333
"360","Tuamotu","Tikehau","2",40,"Scleractinian","Gardinoseris",0.0443333333333333
"361","Society","Bora","1",60,"Scleractinian","Gardinoseris",0.4
"362","Gambier","Mangareva","1",60,"Scleractinian","Gardinoseris",0.0443333333333333
"363","Tuamotu","Rangiroa","1",60,"Scleractinian","Gardinoseris",0.133333333333333
"364","Tuamotu","Raroia","1",60,"Scleractinian","Gardinoseris",0.311
"365","Society","Tahiti","1",60,"Scleractinian","Gardinoseris",0.0443333333333333
"366","Tuamotu","Tikehau","1",60,"Scleractinian","Gardinoseris",0.0443333333333333
"367","Tuamotu","Makatea","2",60,"Scleractinian","Gardinoseris",0.089
"368","Tuamotu","Rangiroa","2",60,"Scleractinian","Gardinoseris",0.089
"369","Society","Moorea","1",20,"Scleractinian","Herpolitha",0.0443333333333333
"370","Tuamotu","Rangiroa","1",20,"Scleractinian","Herpolitha",0.133333333333333
"371","Gambier","Mangareva","2",20,"Scleractinian","Herpolitha",0.0443333333333333
"372","Society","Moorea","2",20,"Scleractinian","Herpolitha",0.133333333333333
"373","Tuamotu","Raroia","2",20,"Scleractinian","Herpolitha",0.0443333333333333
"374","Tuamotu","Tikehau","2",20,"Scleractinian","Herpolitha",0.0443333333333333
"375","Society","Bora","1",40,"Scleractinian","Herpolitha",0.089
"376","Gambier","Mangareva","1",40,"Scleractinian","Herpolitha",0.0886666666666667
"377","Society","Moorea","1",40,"Scleractinian","Herpolitha",0.133333333333333
"378","Tuamotu","Rangiroa","1",40,"Scleractinian","Herpolitha",0.221666666666667
"379","Society","Tahiti","1",40,"Scleractinian","Herpolitha",0.089
"380","Society","Bora","2",40,"Scleractinian","Herpolitha",0.178
"381","Gambier","Mangareva","2",40,"Scleractinian","Herpolitha",0.755333333333333
"382","Tuamotu","Rangiroa","2",40,"Scleractinian","Herpolitha",0.0443333333333333
"383","Tuamotu","Raroia","2",40,"Scleractinian","Herpolitha",0.089
"384","Society","Tahiti","2",40,"Scleractinian","Herpolitha",0.133333333333333
"385","Tuamotu","Tikehau","2",40,"Scleractinian","Herpolitha",0.0443333333333333
"386","Tuamotu","Makatea","2",60,"Scleractinian","Herpolitha",0.178
"387","Tuamotu","Tikehau","2",60,"Scleractinian","Herpolitha",0.0443333333333333
"388","Society","Bora","1",6,"Scleractinian","Leptastrea",0.221833333333333
"389","Tuamotu","Makatea","1",6,"Scleractinian","Leptastrea",1.24433333333333
"390","Gambier","Mangareva","1",6,"Scleractinian","Leptastrea",0.311
"391","Society","Moorea","1",6,"Scleractinian","Leptastrea",0.177666666666667
"392","Tuamotu","Raroia","1",6,"Scleractinian","Leptastrea",0.355333333333333
"393","Society","Tahiti","1",6,"Scleractinian","Leptastrea",0.888833333333333
"394","Tuamotu","Tikehau","1",6,"Scleractinian","Leptastrea",0.0443333333333333
"395","Tuamotu","Makatea","2",6,"Scleractinian","Leptastrea",0.488833333333333
"396","Gambier","Mangareva","2",6,"Scleractinian","Leptastrea",0.178
"397","Society","Moorea","2",6,"Scleractinian","Leptastrea",0.133333333333333
"398","Tuamotu","Raroia","2",6,"Scleractinian","Leptastrea",0.133333333333333
"399","Society","Tahiti","2",6,"Scleractinian","Leptastrea",0.488666666666667
"400","Tuamotu","Tikehau","2",6,"Scleractinian","Leptastrea",0.155333333333333
"401","Society","Bora","1",20,"Scleractinian","Leptastrea",0.533
"402","Tuamotu","Makatea","1",20,"Scleractinian","Leptastrea",1.19966666666667
"403","Gambier","Mangareva","1",20,"Scleractinian","Leptastrea",0.310833333333333
"404","Society","Moorea","1",20,"Scleractinian","Leptastrea",0.222
"405","Tuamotu","Rangiroa","1",20,"Scleractinian","Leptastrea",1.19966666666667
"406","Tuamotu","Raroia","1",20,"Scleractinian","Leptastrea",0.0443333333333333
"407","Society","Tahiti","1",20,"Scleractinian","Leptastrea",2.022
"408","Tuamotu","Tikehau","1",20,"Scleractinian","Leptastrea",0.333
"409","Society","Bora","2",20,"Scleractinian","Leptastrea",0.5325
"410","Tuamotu","Makatea","2",20,"Scleractinian","Leptastrea",0.377333333333333
"411","Gambier","Mangareva","2",20,"Scleractinian","Leptastrea",0.421833333333333
"412","Society","Moorea","2",20,"Scleractinian","Leptastrea",0.155333333333333
"413","Tuamotu","Rangiroa","2",20,"Scleractinian","Leptastrea",0.222
"414","Tuamotu","Raroia","2",20,"Scleractinian","Leptastrea",0.0886666666666667
"415","Society","Tahiti","2",20,"Scleractinian","Leptastrea",0.644
"416","Tuamotu","Tikehau","2",20,"Scleractinian","Leptastrea",2.75566666666667
"417","Society","Bora","1",40,"Scleractinian","Leptastrea",0.1555
"418","Tuamotu","Makatea","1",40,"Scleractinian","Leptastrea",0.133333333333333
"419","Gambier","Mangareva","1",40,"Scleractinian","Leptastrea",2.22233333333333
"420","Society","Moorea","1",40,"Scleractinian","Leptastrea",0.7775
"421","Tuamotu","Rangiroa","1",40,"Scleractinian","Leptastrea",0.199666666666667
"422","Society","Tahiti","1",40,"Scleractinian","Leptastrea",0.333166666666667
"423","Tuamotu","Tikehau","1",40,"Scleractinian","Leptastrea",0.533333333333333
"424","Society","Bora","2",40,"Scleractinian","Leptastrea",0.711
"425","Gambier","Mangareva","2",40,"Scleractinian","Leptastrea",1.24366666666667
"426","Society","Moorea","2",40,"Scleractinian","Leptastrea",0.177666666666667
"427","Tuamotu","Rangiroa","2",40,"Scleractinian","Leptastrea",0.0665
"428","Tuamotu","Raroia","2",40,"Scleractinian","Leptastrea",0.0888333333333333
"429","Tuamotu","Tikehau","2",40,"Scleractinian","Leptastrea",0.422166666666667
"430","Society","Bora","1",60,"Scleractinian","Leptastrea",0.333166666666667
"431","Gambier","Mangareva","1",60,"Scleractinian","Leptastrea",8.86666666666667
"432","Society","Moorea","1",60,"Scleractinian","Leptastrea",0.133333333333333
"433","Tuamotu","Raroia","1",60,"Scleractinian","Leptastrea",0.266666666666667
"434","Society","Tahiti","1",60,"Scleractinian","Leptastrea",0.311333333333333
"435","Tuamotu","Tikehau","1",60,"Scleractinian","Leptastrea",0.133333333333333
"436","Society","Bora","2",60,"Scleractinian","Leptastrea",0.821833333333333
"437","Tuamotu","Makatea","2",60,"Scleractinian","Leptastrea",0.0443333333333333
"438","Gambier","Mangareva","2",60,"Scleractinian","Leptastrea",1.06633333333333
"439","Society","Moorea","2",60,"Scleractinian","Leptastrea",0.266166666666667
"440","Tuamotu","Rangiroa","2",60,"Scleractinian","Leptastrea",0.133333333333333
"441","Tuamotu","Raroia","2",60,"Scleractinian","Leptastrea",0.8445
"442","Tuamotu","Tikehau","2",60,"Scleractinian","Leptastrea",0.133333333333333
"443","Society","Bora","2",90,"Scleractinian","Leptastrea",0.133333333333333
"444","Gambier","Mangareva","1",6,"Scleractinian","Leptoria",0.311333333333333
"445","Gambier","Mangareva","2",6,"Scleractinian","Leptoria",1.422
"446","Gambier","Mangareva","1",20,"Scleractinian","Leptoria",0.399666666666667
"447","Gambier","Mangareva","2",20,"Scleractinian","Leptoria",0.666666666666667
"448","Gambier","Mangareva","2",40,"Scleractinian","Leptoria",0.222
"449","Gambier","Mangareva","2",90,"Scleractinian","Leptoria",0.0443333333333333
"450","Tuamotu","Makatea","1",6,"Scleractinian","Leptoseris",0.4
"451","Society","Moorea","1",6,"Scleractinian","Leptoseris",0.0443333333333333
"452","Tuamotu","Makatea","2",6,"Scleractinian","Leptoseris",0.266666666666667
"453","Gambier","Mangareva","2",6,"Scleractinian","Leptoseris",0.089
"454","Society","Tahiti","2",6,"Scleractinian","Leptoseris",0.0443333333333333
"455","Society","Bora","1",20,"Scleractinian","Leptoseris",0.0443333333333333
"456","Tuamotu","Makatea","1",20,"Scleractinian","Leptoseris",1.6
"457","Gambier","Mangareva","1",20,"Scleractinian","Leptoseris",0.310666666666667
"458","Society","Moorea","1",20,"Scleractinian","Leptoseris",0.266666666666667
"459","Tuamotu","Rangiroa","1",20,"Scleractinian","Leptoseris",0.0886666666666667
"460","Tuamotu","Raroia","1",20,"Scleractinian","Leptoseris",0.222
"461","Society","Tahiti","1",20,"Scleractinian","Leptoseris",0.177333333333333
"462","Tuamotu","Tikehau","1",20,"Scleractinian","Leptoseris",0.800166666666667
"463","Society","Bora","2",20,"Scleractinian","Leptoseris",1.15566666666667
"464","Tuamotu","Makatea","2",20,"Scleractinian","Leptoseris",0.311
"465","Gambier","Mangareva","2",20,"Scleractinian","Leptoseris",0.711333333333333
"466","Society","Moorea","2",20,"Scleractinian","Leptoseris",1.91033333333333
"467","Tuamotu","Raroia","2",20,"Scleractinian","Leptoseris",0.622
"468","Society","Tahiti","2",20,"Scleractinian","Leptoseris",2.244
"469","Tuamotu","Tikehau","2",20,"Scleractinian","Leptoseris",0.355333333333333
"470","Tuamotu","Makatea","1",40,"Scleractinian","Leptoseris",5.044
"471","Gambier","Mangareva","1",40,"Scleractinian","Leptoseris",0.133
"472","Society","Moorea","1",40,"Scleractinian","Leptoseris",0.711
"473","Tuamotu","Rangiroa","1",40,"Scleractinian","Leptoseris",1.68866666666667
"474","Tuamotu","Raroia","1",40,"Scleractinian","Leptoseris",0.267
"475","Society","Tahiti","1",40,"Scleractinian","Leptoseris",0.844666666666667
"476","Tuamotu","Tikehau","1",40,"Scleractinian","Leptoseris",0.6885
"477","Society","Bora","2",40,"Scleractinian","Leptoseris",2.97766666666667
"478","Tuamotu","Makatea","2",40,"Scleractinian","Leptoseris",4.95533333333333
"479","Gambier","Mangareva","2",40,"Scleractinian","Leptoseris",0.977333333333333
"480","Society","Moorea","2",40,"Scleractinian","Leptoseris",0.133333333333333
"481","Tuamotu","Rangiroa","2",40,"Scleractinian","Leptoseris",0.222
"482","Tuamotu","Raroia","2",40,"Scleractinian","Leptoseris",1.289
"483","Society","Tahiti","2",40,"Scleractinian","Leptoseris",3.1335
"484","Tuamotu","Tikehau","2",40,"Scleractinian","Leptoseris",0.222
"485","Society","Bora","1",60,"Scleractinian","Leptoseris",3.7775
"486","Tuamotu","Makatea","1",60,"Scleractinian","Leptoseris",16.5553333333333
"487","Gambier","Mangareva","1",60,"Scleractinian","Leptoseris",0.533333333333333
"488","Society","Moorea","1",60,"Scleractinian","Leptoseris",0.399166666666667
"489","Tuamotu","Rangiroa","1",60,"Scleractinian","Leptoseris",0.732666666666667
"490","Tuamotu","Raroia","1",60,"Scleractinian","Leptoseris",1.511
"491","Society","Tahiti","1",60,"Scleractinian","Leptoseris",1.244
"492","Tuamotu","Tikehau","1",60,"Scleractinian","Leptoseris",2.68816666666667
"493","Society","Bora","2",60,"Scleractinian","Leptoseris",7.51116666666667
"494","Tuamotu","Makatea","2",60,"Scleractinian","Leptoseris",11.4663333333333
"495","Gambier","Mangareva","2",60,"Scleractinian","Leptoseris",0.0443333333333333
"496","Society","Moorea","2",60,"Scleractinian","Leptoseris",0.599666666666667
"497","Tuamotu","Rangiroa","2",60,"Scleractinian","Leptoseris",0.621333333333333
"498","Tuamotu","Raroia","2",60,"Scleractinian","Leptoseris",1.44416666666667
"499","Society","Tahiti","2",60,"Scleractinian","Leptoseris",2.2
"500","Tuamotu","Tikehau","2",60,"Scleractinian","Leptoseris",0.822333333333333
"501","Society","Bora","1",90,"Scleractinian","Leptoseris",0.221666666666667
"502","Tuamotu","Makatea","1",90,"Scleractinian","Leptoseris",17.4216666666667
"503","Gambier","Mangareva","1",90,"Scleractinian","Leptoseris",0.3555
"504","Society","Moorea","1",90,"Scleractinian","Leptoseris",0.222333333333333
"505","Tuamotu","Rangiroa","1",90,"Scleractinian","Leptoseris",0.577833333333333
"506","Tuamotu","Raroia","1",90,"Scleractinian","Leptoseris",1.28766666666667
"507","Society","Tahiti","1",90,"Scleractinian","Leptoseris",0.222333333333333
"508","Tuamotu","Tikehau","1",90,"Scleractinian","Leptoseris",0.4
"509","Society","Bora","2",90,"Scleractinian","Leptoseris",1.5555
"510","Tuamotu","Makatea","2",90,"Scleractinian","Leptoseris",14.1111666666667
"511","Gambier","Mangareva","2",90,"Scleractinian","Leptoseris",1.46666666666667
"512","Society","Moorea","2",90,"Scleractinian","Leptoseris",0.177666666666667
"513","Tuamotu","Rangiroa","2",90,"Scleractinian","Leptoseris",1.1335
"514","Tuamotu","Raroia","2",90,"Scleractinian","Leptoseris",1.46533333333333
"515","Society","Tahiti","2",90,"Scleractinian","Leptoseris",0.177666666666667
"516","Tuamotu","Tikehau","2",90,"Scleractinian","Leptoseris",2.5335
"517","Society","Bora","1",120,"Scleractinian","Leptoseris",0.0443333333333333
"518","Tuamotu","Makatea","1",120,"Scleractinian","Leptoseris",1.86633333333333
"519","Gambier","Mangareva","1",120,"Scleractinian","Leptoseris",0.621666666666667
"520","Tuamotu","Rangiroa","1",120,"Scleractinian","Leptoseris",0.0443333333333333
"521","Tuamotu","Raroia","1",120,"Scleractinian","Leptoseris",2.26666666666667
"522","Society","Tahiti","1",120,"Scleractinian","Leptoseris",0.089
"523","Society","Bora","2",120,"Scleractinian","Leptoseris",0.533
"524","Tuamotu","Makatea","2",120,"Scleractinian","Leptoseris",1.28866666666667
"525","Gambier","Mangareva","2",120,"Scleractinian","Leptoseris",2.84466666666667
"526","Society","Moorea","2",120,"Scleractinian","Leptoseris",0.0443333333333333
"527","Tuamotu","Rangiroa","2",120,"Scleractinian","Leptoseris",0.932666666666667
"528","Tuamotu","Raroia","2",120,"Scleractinian","Leptoseris",0.266333333333333
"529","Tuamotu","Tikehau","2",120,"Scleractinian","Leptoseris",0.222
"530","Society","Tahiti","1",6,"Scleractinian","Lobactis",0.0443333333333333
"531","Gambier","Mangareva","2",6,"Scleractinian","Lobactis",0.0443333333333333
"532","Tuamotu","Tikehau","2",6,"Scleractinian","Lobactis",0.089
"533","Gambier","Mangareva","1",20,"Scleractinian","Lobactis",0.0443333333333333
"534","Tuamotu","Rangiroa","1",20,"Scleractinian","Lobactis",0.177666666666667
"535","Tuamotu","Raroia","1",20,"Scleractinian","Lobactis",0.133333333333333
"536","Gambier","Mangareva","2",20,"Scleractinian","Lobactis",0.0443333333333333
"537","Society","Moorea","2",20,"Scleractinian","Lobactis",0.222
"538","Tuamotu","Rangiroa","2",20,"Scleractinian","Lobactis",0.0443333333333333
"539","Tuamotu","Raroia","2",20,"Scleractinian","Lobactis",0.0443333333333333
"540","Society","Tahiti","2",20,"Scleractinian","Lobactis",0.0443333333333333
"541","Society","Bora","1",40,"Scleractinian","Lobactis",0.0886666666666667
"542","Gambier","Mangareva","1",40,"Scleractinian","Lobactis",0.089
"543","Society","Moorea","1",40,"Scleractinian","Lobactis",0.0443333333333333
"544","Society","Tahiti","1",40,"Scleractinian","Lobactis",0.0886666666666667
"545","Tuamotu","Tikehau","1",40,"Scleractinian","Lobactis",0.0443333333333333
"546","Society","Bora","2",40,"Scleractinian","Lobactis",0.488666666666667
"547","Gambier","Mangareva","2",40,"Scleractinian","Lobactis",1.33333333333333
"548","Tuamotu","Rangiroa","2",40,"Scleractinian","Lobactis",0.0443333333333333
"549","Tuamotu","Makatea","1",60,"Scleractinian","Lobactis",0.133
"550","Society","Moorea","1",60,"Scleractinian","Lobactis",0.089
"551","Society","Tahiti","1",60,"Scleractinian","Lobactis",0.0443333333333333
"552","Society","Bora","2",60,"Scleractinian","Lobactis",0.0443333333333333
"553","Gambier","Mangareva","2",60,"Scleractinian","Lobactis",0.0443333333333333
"554","Society","Moorea","2",60,"Scleractinian","Lobactis",0.266333333333333
"555","Tuamotu","Rangiroa","2",60,"Scleractinian","Lobactis",0.0443333333333333
"556","Tuamotu","Raroia","2",60,"Scleractinian","Lobactis",0.0443333333333333
"557","Gambier","Mangareva","1",6,"Scleractinian","Lobophyllia",0.0443333333333333
"558","Gambier","Mangareva","1",20,"Scleractinian","Lobophyllia",0.133333333333333
"559","Gambier","Mangareva","2",20,"Scleractinian","Lobophyllia",0.0443333333333333
"560","Society","Moorea","2",20,"Scleractinian","Lobophyllia",0.0443333333333333
"561","Society","Tahiti","2",20,"Scleractinian","Lobophyllia",0.0886666666666667
"562","Tuamotu","Rangiroa","1",40,"Scleractinian","Lobophyllia",0.089
"563","Society","Bora","2",40,"Scleractinian","Lobophyllia",0.133333333333333
"564","Tuamotu","Tikehau","2",40,"Scleractinian","Lobophyllia",0.0443333333333333
"565","Society","Bora","1",6,"Scleractinian","Montipora",1.26683333333333
"566","Tuamotu","Makatea","1",6,"Scleractinian","Montipora",2.933
"567","Gambier","Mangareva","1",6,"Scleractinian","Montipora",2.0445
"568","Society","Moorea","1",6,"Scleractinian","Montipora",1.88883333333333
"569","Tuamotu","Rangiroa","1",6,"Scleractinian","Montipora",0.133333333333333
"570","Tuamotu","Raroia","1",6,"Scleractinian","Montipora",4.55533333333333
"571","Society","Tahiti","1",6,"Scleractinian","Montipora",1.8445
"572","Tuamotu","Tikehau","1",6,"Scleractinian","Montipora",0.155333333333333
"573","Society","Bora","2",6,"Scleractinian","Montipora",1.11033333333333
"574","Tuamotu","Makatea","2",6,"Scleractinian","Montipora",3.022
"575","Gambier","Mangareva","2",6,"Scleractinian","Montipora",1.31083333333333
"576","Society","Moorea","2",6,"Scleractinian","Montipora",7.02233333333333
"577","Tuamotu","Rangiroa","2",6,"Scleractinian","Montipora",1.24433333333333
"578","Tuamotu","Raroia","2",6,"Scleractinian","Montipora",2.0665
"579","Society","Tahiti","2",6,"Scleractinian","Montipora",3.11033333333333
"580","Tuamotu","Tikehau","2",6,"Scleractinian","Montipora",2.55533333333333
"581","Society","Bora","1",20,"Scleractinian","Montipora",0.562888888888889
"582","Tuamotu","Makatea","1",20,"Scleractinian","Montipora",2.39988888888889
"583","Gambier","Mangareva","1",20,"Scleractinian","Montipora",0.355333333333333
"584","Society","Moorea","1",20,"Scleractinian","Montipora",0.666666666666667
"585","Tuamotu","Rangiroa","1",20,"Scleractinian","Montipora",0.0443333333333333
"586","Tuamotu","Raroia","1",20,"Scleractinian","Montipora",2.48877777777778
"587","Society","Tahiti","1",20,"Scleractinian","Montipora",1.333
"588","Tuamotu","Tikehau","1",20,"Scleractinian","Montipora",0.378
"589","Society","Bora","2",20,"Scleractinian","Montipora",0.511166666666667
"590","Tuamotu","Makatea","2",20,"Scleractinian","Montipora",0.755333333333333
"591","Gambier","Mangareva","2",20,"Scleractinian","Montipora",1.60011111111111
"592","Society","Moorea","2",20,"Scleractinian","Montipora",1.111
"593","Tuamotu","Rangiroa","2",20,"Scleractinian","Montipora",0.1555
"594","Tuamotu","Raroia","2",20,"Scleractinian","Montipora",0.859222222222222
"595","Society","Tahiti","2",20,"Scleractinian","Montipora",5.37783333333333
"596","Tuamotu","Tikehau","2",20,"Scleractinian","Montipora",0.999666666666667
"597","Society","Bora","1",40,"Scleractinian","Montipora",0.0886666666666667
"598","Tuamotu","Makatea","1",40,"Scleractinian","Montipora",0.548111111111111
"599","Gambier","Mangareva","1",40,"Scleractinian","Montipora",0.266333333333333
"600","Society","Moorea","1",40,"Scleractinian","Montipora",0.266333333333333
"601","Tuamotu","Rangiroa","1",40,"Scleractinian","Montipora",0.222333333333333
"602","Tuamotu","Raroia","1",40,"Scleractinian","Montipora",0.385
"603","Society","Tahiti","1",40,"Scleractinian","Montipora",1.9555
"604","Tuamotu","Tikehau","1",40,"Scleractinian","Montipora",0.622
"605","Society","Bora","2",40,"Scleractinian","Montipora",0.859222222222222
"606","Tuamotu","Makatea","2",40,"Scleractinian","Montipora",0.511
"607","Gambier","Mangareva","2",40,"Scleractinian","Montipora",1.79266666666667
"608","Society","Moorea","2",40,"Scleractinian","Montipora",0.0666666666666667
"609","Tuamotu","Rangiroa","2",40,"Scleractinian","Montipora",0.133333333333333
"610","Tuamotu","Raroia","2",40,"Scleractinian","Montipora",0.355333333333333
"611","Society","Tahiti","2",40,"Scleractinian","Montipora",0.222111111111111
"612","Tuamotu","Tikehau","2",40,"Scleractinian","Montipora",0.177666666666667
"613","Society","Bora","1",60,"Scleractinian","Montipora",0.311
"614","Tuamotu","Makatea","1",60,"Scleractinian","Montipora",0.444333333333333
"615","Gambier","Mangareva","1",60,"Scleractinian","Montipora",0.222166666666667
"616","Tuamotu","Rangiroa","1",60,"Scleractinian","Montipora",0.399666666666667
"617","Tuamotu","Raroia","1",60,"Scleractinian","Montipora",0.288666666666667
"618","Society","Tahiti","1",60,"Scleractinian","Montipora",0.666666666666667
"619","Tuamotu","Tikehau","1",60,"Scleractinian","Montipora",0.177666666666667
"620","Society","Bora","2",60,"Scleractinian","Montipora",1.24433333333333
"621","Tuamotu","Makatea","2",60,"Scleractinian","Montipora",0.340666666666667
"622","Gambier","Mangareva","2",60,"Scleractinian","Montipora",0.333166666666667
"623","Society","Moorea","2",60,"Scleractinian","Montipora",0.822166666666667
"624","Tuamotu","Rangiroa","2",60,"Scleractinian","Montipora",0.562888888888889
"625","Tuamotu","Raroia","2",60,"Scleractinian","Montipora",0.281222222222222
"626","Tuamotu","Tikehau","2",60,"Scleractinian","Montipora",0.266666666666667
"627","Gambier","Mangareva","1",90,"Scleractinian","Montipora",4.8
"628","Tuamotu","Rangiroa","1",90,"Scleractinian","Montipora",0.0443333333333333
"629","Tuamotu","Raroia","1",90,"Scleractinian","Montipora",5.77733333333333
"630","Society","Bora","2",90,"Scleractinian","Montipora",0.177666666666667
"631","Gambier","Mangareva","2",90,"Scleractinian","Montipora",23.3996666666667
"632","Gambier","Mangareva","1",120,"Scleractinian","Montipora",7.04416666666667
"633","Gambier","Mangareva","2",120,"Scleractinian","Montipora",15.4226666666667
"634","Society","Moorea","1",6,"Scleractinian","Napopora",0.0886666666666667
"635","Society","Moorea","2",6,"Scleractinian","Napopora",0.311
"636","Society","Bora","1",20,"Scleractinian","Napopora",0.0443333333333333
"637","Society","Moorea","1",20,"Scleractinian","Napopora",0.133333333333333
"638","Tuamotu","Tikehau","1",20,"Scleractinian","Napopora",0.0443333333333333
"639","Society","Moorea","2",20,"Scleractinian","Napopora",0.089
"640","Tuamotu","Rangiroa","2",20,"Scleractinian","Napopora",0.0443333333333333
"641","Society","Tahiti","2",20,"Scleractinian","Napopora",0.089
"642","Tuamotu","Makatea","1",40,"Scleractinian","Napopora",0.0443333333333333
"643","Society","Moorea","1",40,"Scleractinian","Napopora",0.266666666666667
"644","Society","Tahiti","1",40,"Scleractinian","Napopora",0.978
"645","Society","Bora","2",40,"Scleractinian","Napopora",1.51133333333333
"646","Tuamotu","Makatea","1",20,"Scleractinian","Non_Id_Coral",0.089
"647","Tuamotu","Raroia","1",20,"Scleractinian","Non_Id_Coral",0.133
"648","Tuamotu","Tikehau","1",20,"Scleractinian","Non_Id_Coral",0.310666666666667
"649","Society","Bora","2",20,"Scleractinian","Non_Id_Coral",0.0443333333333333
"650","Gambier","Mangareva","2",20,"Scleractinian","Non_Id_Coral",0.0886666666666667
"651","Society","Tahiti","2",20,"Scleractinian","Non_Id_Coral",0.089
"652","Society","Moorea","1",40,"Scleractinian","Non_Id_Coral",0.111166666666667
"653","Tuamotu","Tikehau","1",40,"Scleractinian","Non_Id_Coral",0.103555555555556
"654","Tuamotu","Makatea","2",40,"Scleractinian","Non_Id_Coral",0.0886666666666667
"655","Gambier","Mangareva","2",40,"Scleractinian","Non_Id_Coral",0.221666666666667
"656","Society","Moorea","2",40,"Scleractinian","Non_Id_Coral",0.0443333333333333
"657","Tuamotu","Raroia","2",40,"Scleractinian","Non_Id_Coral",0.089
"658","Society","Tahiti","2",40,"Scleractinian","Non_Id_Coral",2.33283333333333
"659","Tuamotu","Tikehau","2",40,"Scleractinian","Non_Id_Coral",0.0443333333333333
"660","Society","Bora","1",60,"Scleractinian","Non_Id_Coral",0.311
"661","Gambier","Mangareva","1",60,"Scleractinian","Non_Id_Coral",0.0443333333333333
"662","Society","Moorea","1",60,"Scleractinian","Non_Id_Coral",0.089
"663","Tuamotu","Rangiroa","1",60,"Scleractinian","Non_Id_Coral",0.0886666666666667
"664","Tuamotu","Raroia","1",60,"Scleractinian","Non_Id_Coral",0.0886666666666667
"665","Society","Tahiti","1",60,"Scleractinian","Non_Id_Coral",0.310666666666667
"666","Tuamotu","Tikehau","1",60,"Scleractinian","Non_Id_Coral",0.089
"667","Society","Bora","2",60,"Scleractinian","Non_Id_Coral",0.133
"668","Tuamotu","Makatea","2",60,"Scleractinian","Non_Id_Coral",0.0443333333333333
"669","Gambier","Mangareva","2",60,"Scleractinian","Non_Id_Coral",0.0886666666666667
"670","Society","Moorea","2",60,"Scleractinian","Non_Id_Coral",0.0443333333333333
"671","Tuamotu","Rangiroa","2",60,"Scleractinian","Non_Id_Coral",0.0443333333333333
"672","Tuamotu","Raroia","2",60,"Scleractinian","Non_Id_Coral",0.0886666666666667
"673","Tuamotu","Tikehau","2",60,"Scleractinian","Non_Id_Coral",0.089
"674","Society","Bora","1",90,"Scleractinian","Non_Id_Coral",0.0443333333333333
"675","Tuamotu","Makatea","1",90,"Scleractinian","Non_Id_Coral",0.0443333333333333
"676","Gambier","Mangareva","1",90,"Scleractinian","Non_Id_Coral",0.0886666666666667
"677","Society","Moorea","1",90,"Scleractinian","Non_Id_Coral",0.0886666666666667
"678","Society","Bora","2",90,"Scleractinian","Non_Id_Coral",0.0443333333333333
"679","Gambier","Mangareva","2",90,"Scleractinian","Non_Id_Coral",0.399666666666667
"680","Tuamotu","Rangiroa","2",90,"Scleractinian","Non_Id_Coral",0.0443333333333333
"681","Tuamotu","Raroia","2",90,"Scleractinian","Non_Id_Coral",0.0443333333333333
"682","Society","Bora","1",120,"Scleractinian","Non_Id_Coral",0.0443333333333333
"683","Gambier","Mangareva","1",120,"Scleractinian","Non_Id_Coral",0.0443333333333333
"684","Gambier","Mangareva","2",120,"Scleractinian","Non_Id_Coral",0.0443333333333333
"685","Tuamotu","Rangiroa","1",20,"Scleractinian","Pachyseris",0.089
"686","Tuamotu","Raroia","1",20,"Scleractinian","Pachyseris",0.489
"687","Society","Tahiti","1",20,"Scleractinian","Pachyseris",0.089
"688","Tuamotu","Tikehau","1",20,"Scleractinian","Pachyseris",0.0443333333333333
"689","Society","Moorea","2",20,"Scleractinian","Pachyseris",0.133333333333333
"690","Society","Tahiti","2",20,"Scleractinian","Pachyseris",1.28866666666667
"691","Society","Moorea","1",40,"Scleractinian","Pachyseris",0.843666666666667
"692","Tuamotu","Rangiroa","1",40,"Scleractinian","Pachyseris",32
"693","Tuamotu","Raroia","1",40,"Scleractinian","Pachyseris",70.311
"694","Society","Tahiti","1",40,"Scleractinian","Pachyseris",0.399666666666667
"695","Tuamotu","Tikehau","1",40,"Scleractinian","Pachyseris",0.089
"696","Society","Bora","2",40,"Scleractinian","Pachyseris",0.444333333333333
"697","Tuamotu","Makatea","2",40,"Scleractinian","Pachyseris",0.0886666666666667
"698","Society","Moorea","2",40,"Scleractinian","Pachyseris",0.266666666666667
"699","Tuamotu","Rangiroa","2",40,"Scleractinian","Pachyseris",18.4883333333333
"700","Tuamotu","Raroia","2",40,"Scleractinian","Pachyseris",47.5563333333333
"701","Society","Tahiti","2",40,"Scleractinian","Pachyseris",8.08866666666667
"702","Tuamotu","Tikehau","2",40,"Scleractinian","Pachyseris",42.1326666666667
"703","Society","Bora","1",60,"Scleractinian","Pachyseris",24.489
"704","Tuamotu","Makatea","1",60,"Scleractinian","Pachyseris",0.222
