"","Archipelago","Island","Island_Site","Depth","Cattegory","Coral_genus","Cover"
"72","Tuamotu","Raroia","2",40,"Scleractinian","Acropora",0.355333333333333
"73","Society","Bora","1",60,"Scleractinian","Acropora",0.089
"74","Tuamotu","Makatea","1",60,"Scleractinian","Acropora",0.844333333333333
"75","Gambier","Mangareva","1",60,"Scleractinian","Acropora",0.755333333333333
"76","Society","Moorea","1",60,"Scleractinian","Acropora",0.666666666666667
"77","Tuamotu","Raroia","1",60,"Scleractinian","Acropora",0.311
"78","Society","Tahiti","1",60,"Scleractinian","Acropora",0.0886666666666667
"79","Tuamotu","Tikehau","1",60,"Scleractinian","Acropora",0.089
"80","Society","Bora","2",60,"Scleractinian","Acropora",1.28833333333333
"81","Tuamotu","Makatea","2",60,"Scleractinian","Acropora",0.133333333333333
"82","Gambier","Mangareva","2",60,"Scleractinian","Acropora",0.666
"83","Society","Moorea","2",60,"Scleractinian","Acropora",1.511
"84","Tuamotu","Raroia","2",60,"Scleractinian","Acropora",0.222333333333333
"85","Tuamotu","Tikehau","2",60,"Scleractinian","Acropora",0.0443333333333333
"86","Gambier","Mangareva","2",90,"Scleractinian","Acropora",0.755333333333333
"87","Society","Bora","1",90,"Scleractinian","Alveopora",0.0443333333333333
"88","Gambier","Mangareva","1",90,"Scleractinian","Alveopora",0.0443333333333333
"89","Society","Moorea","1",90,"Scleractinian","Alveopora",0.177666666666667
"90","Tuamotu","Raroia","1",90,"Scleractinian","Alveopora",0.0886666666666667
"91","Society","Moorea","2",90,"Scleractinian","Alveopora",0.0443333333333333
"92","Society","Bora","1",120,"Scleractinian","Alveopora",0.0443333333333333
"93","Gambier","Mangareva","1",120,"Scleractinian","Alveopora",0.177666666666667
"94","Society","Bora","1",6,"Scleractinian","Astrea",0.0886666666666667
"95","Tuamotu","Makatea","1",6,"Scleractinian","Astrea",0.0443333333333333
"96","Gambier","Mangareva","1",6,"Scleractinian","Astrea",0.222
"97","Society","Moorea","1",6,"Scleractinian","Astrea",0.755333333333333
"98","Tuamotu","Rangiroa","1",6,"Scleractinian","Astrea",0.355333333333333
"99","Tuamotu","Raroia","1",6,"Scleractinian","Astrea",2.31033333333333
"100","Society","Tahiti","1",6,"Scleractinian","Astrea",0.843666666666667
"101","Tuamotu","Tikehau","1",6,"Scleractinian","Astrea",0.133
"102","Society","Bora","2",6,"Scleractinian","Astrea",0.977333333333333
"103","Gambier","Mangareva","2",6,"Scleractinian","Astrea",0.222
"104","Society","Moorea","2",6,"Scleractinian","Astrea",0.755333333333333
"105","Tuamotu","Rangiroa","2",6,"Scleractinian","Astrea",0.933
"106","Tuamotu","Raroia","2",6,"Scleractinian","Astrea",2.045
"107","Society","Tahiti","2",6,"Scleractinian","Astrea",1.199
"108","Tuamotu","Tikehau","2",6,"Scleractinian","Astrea",1.24366666666667
"109","Society","Bora","1",20,"Scleractinian","Astrea",0.488333333333333
"110","Gambier","Mangareva","1",20,"Scleractinian","Astrea",0.0443333333333333
"111","Society","Moorea","1",20,"Scleractinian","Astrea",0.577333333333333
"112","Tuamotu","Rangiroa","1",20,"Scleractinian","Astrea",0.533
"113","Tuamotu","Raroia","1",20,"Scleractinian","Astrea",2.35566666666667
"114","Society","Tahiti","1",20,"Scleractinian","Astrea",0.976666666666667
"115","Tuamotu","Tikehau","1",20,"Scleractinian","Astrea",0.355333333333333
"116","Society","Bora","2",20,"Scleractinian","Astrea",0.489
"117","Gambier","Mangareva","2",20,"Scleractinian","Astrea",1.022
"118","Society","Moorea","2",20,"Scleractinian","Astrea",1.11
"119","Tuamotu","Rangiroa","2",20,"Scleractinian","Astrea",1.33233333333333
"120","Tuamotu","Raroia","2",20,"Scleractinian","Astrea",3.378
"121","Society","Tahiti","2",20,"Scleractinian","Astrea",0.222
"122","Tuamotu","Tikehau","2",20,"Scleractinian","Astrea",0.577666666666667
"123","Society","Bora","1",40,"Scleractinian","Astrea",0.0886666666666667
"124","Society","Moorea","1",40,"Scleractinian","Astrea",0.0443333333333333
"125","Society","Bora","2",40,"Scleractinian","Astrea",0.533333333333333
"126","Gambier","Mangareva","2",40,"Scleractinian","Astrea",0.0443333333333333
"127","Society","Moorea","2",40,"Scleractinian","Astrea",0.311
"128","Tuamotu","Rangiroa","2",40,"Scleractinian","Astrea",0.0886666666666667
"129","Tuamotu","Raroia","2",40,"Scleractinian","Astrea",0.177666666666667
"130","Gambier","Mangareva","1",60,"Scleractinian","Astrea",0.0443333333333333
"131","Society","Bora","2",60,"Scleractinian","Astrea",0.0443333333333333
"132","Tuamotu","Rangiroa","2",60,"Scleractinian","Astrea",0.0886666666666667
"133","Tuamotu","Raroia","2",90,"Scleractinian","Astrea",0.133333333333333
"134","Gambier","Mangareva","1",6,"Scleractinian","Astreopora",0.111166666666667
"135","Tuamotu","Rangiroa","1",6,"Scleractinian","Astreopora",0.266666666666667
"136","Tuamotu","Raroia","1",6,"Scleractinian","Astreopora",0.622
"137","Gambier","Mangareva","2",6,"Scleractinian","Astreopora",0.0886666666666667
"138","Tuamotu","Rangiroa","2",6,"Scleractinian","Astreopora",0.688833333333333
"139","Tuamotu","Tikehau","2",6,"Scleractinian","Astreopora",1.64466666666667
"140","Society","Bora","1",20,"Scleractinian","Astreopora",0.0443333333333333
"141","Gambier","Mangareva","1",20,"Scleractinian","Astreopora",0.0666666666666667
"142","Society","Moorea","1",20,"Scleractinian","Astreopora",0.089
"143","Tuamotu","Rangiroa","1",20,"Scleractinian","Astreopora",2.133
"144","Society","Tahiti","1",20,"Scleractinian","Astreopora",0.133333333333333
"145","Tuamotu","Tikehau","1",20,"Scleractinian","Astreopora",1.55533333333333
"146","Tuamotu","Makatea","2",20,"Scleractinian","Astreopora",0.266666666666667
"147","Gambier","Mangareva","2",20,"Scleractinian","Astreopora",0.0888333333333333
"148","Tuamotu","Rangiroa","2",20,"Scleractinian","Astreopora",0.089
"149","Tuamotu","Tikehau","2",20,"Scleractinian","Astreopora",2.711
"150","Society","Bora","1",40,"Scleractinian","Astreopora",0.0443333333333333
"151","Tuamotu","Makatea","1",40,"Scleractinian","Astreopora",0.0443333333333333
"152","Gambier","Mangareva","1",40,"Scleractinian","Astreopora",1.64433333333333
"153","Society","Moorea","1",40,"Scleractinian","Astreopora",0.089
"154","Tuamotu","Rangiroa","1",40,"Scleractinian","Astreopora",1.00722222222222
"155","Tuamotu","Tikehau","1",40,"Scleractinian","Astreopora",0.133333333333333
"156","Society","Bora","2",40,"Scleractinian","Astreopora",0.0443333333333333
"157","Tuamotu","Makatea","2",40,"Scleractinian","Astreopora",0.133333333333333
"158","Gambier","Mangareva","2",40,"Scleractinian","Astreopora",0.0443333333333333
"159","Tuamotu","Rangiroa","2",40,"Scleractinian","Astreopora",0.414777777777778
"160","Tuamotu","Raroia","2",40,"Scleractinian","Astreopora",0.0443333333333333
"161","Society","Tahiti","2",40,"Scleractinian","Astreopora",0.177666666666667
"162","Tuamotu","Tikehau","2",40,"Scleractinian","Astreopora",1.31833333333333
