Species ;Min. depth ;Max. depth 
Anacropora forbesi ;2 ;25 
Anacropora matthai ;8 ;20 
Anacropora pillai ;8 ;25 
Anacropora puertogalerae ;5 ;20 
Anacropora reticulata ;3 ;15 
Anacropora spinosa ;5 ;15 
Anacropora spumosa ;5 ;15 
Anomastraea irregularis ;0 ;20 
Astrea devantieri ;0 ;20 
Astreopora cucullata ;5 ;15 
Astreopora expansa ;5 ;15 
Astreopora gracilis ;5 ;15 
Astreopora macrostoma ;5 ;15 
Astreopora moretonensis ;2 ;15 
Astreopora randalli ;5 ;15 
Astreopora scabra ;3 ;15 
Astreopora suggesta ;5 ;15 
Australogyra zelli ;1 ;15 
Bernardpora stutchburyi ;1 ;30 
Blastomussa merleti ;2 ;50 
Blastomussa omanensis ;3 ;20 
Blastomussa wellsi ;2 ;40 
Cantharellus doederleini ;15 ;30 
Cantharellus jebbi ;10 ;25 
Cantharellus noumeae ;20 ;30 
Catalaphyllia jardinei ;0 ;40 
Caulastraea connata ;0 ;10 
Caulastraea curvata ;0 ;20 
Caulastraea echinulata ;1 ;18 
Caulastraea furcata ;2 ;30 
Cladocora arbuscula ;1 ;25 
Coelastrea aspera ;0 ;15 
Coeloseris mayeri ;1 ;5 
Colpophyllia natans ;0.5 ;55 
Coscinaraea columna ;5 ;30 
Coscinaraea crassa ;10 ;30 
Coscinaraea exesa ;0 ;35 
Coscinaraea monile ;0 ;52 
Craterastrea levis ;30 ;70 
Ctenactis albitentaculata ;6 ;20 
Ctenactis echinata ;1 ;20 
Ctenella chagius ;3 ;45 
Cycloseris costulata ;3 ;30 
Cycloseris curvata ;3 ;73 
Cycloseris cyclolites ;1 ;40 
Cycloseris distorta ;12 ;85 
Cycloseris explanulata ;5 ;30 
Cycloseris fragilis ;1 ;40 
Cycloseris hexagonalis ;10 ;25 
Cycloseris mokai ;6 ;27 
Cycloseris sinensis ;9 ;40 
Cycloseris somervillei ;25 ;35 
Cycloseris tenuis ;1 ;27 
Cycloseris tenuis ;1 ;27 
Cycloseris tenuis ;1 ;27 
Cycloseris tenuis ;1 ;27 
Cycloseris vaughani ;20 ;36 
Cyphastrea agassizi ;3 ;20 
Cyphastrea chalcidicum ;0 ;50 
Cyphastrea decadia ;3 ;40 
Cyphastrea hexasepta ;8 ;25 
Cyphastrea japonica ;2 ;20 
Cyphastrea ocellina ;5 ;20 
Cyphastrea serailia ;0 ;50 
Danafungia horrida ;1 ;25 
Danafungia horrida ;1 ;25 
Danafungia scruposa ;1 ;27 
Dendrogyra cylindrus ;1 ;25 
